Opportunity.Id,Opportunity.Days.To.Close,Opportunity.Status,Industry,partnerFlag,PPG,Area,Opportunity.Size,Fee.Type,Deal.Type,Segment,Solution.Area,ClusteredArea,Standard.Offering.Type,Discount_percentage,Time-Period
7-O3X3KMWXH,20,Won,Pharmaceuticals,No Partner,O365 Cloud Productivity,United States,"502,510",Mixed,5,Strategic Enterprise,Modern Workplace,North America,Custom,25,P-25
7-OXTRV47GK,63,Lost,Discrete Manufacturing,No Partner,Azure Security and Identity,United States,"951,114",Mixed,4,Strategic Enterprise,Applications & Infrastructure,North America,Custom,88,P-7
7-PJEXMMUMI,40,Lost,Discrete Manufacturing,No Partner,O365 Cloud Productivity,Japan,"682,152",FF,2,Strategic Enterprise,Modern Workplace,APAC,Custom,84,P-16
7-LHBX4ZB3Z,22,Won,Pharmaceuticals,No Partner,O365 Cloud Productivity,Japan,"183,061",T&M,5,Public Sector Enterprise,Modern Workplace,APAC,Custom,53,P-18
7-OWKJXM7NS,342,Lost,National Government,No Partner,EMS,MEA,"258,537",FF,3,Public Sector Enterprise,Modern Workplace,MEA,Custom,18,P-13
7-OCFKADRAZ,413,Won,Primary & Secondary Edu/K-12,No Partner,Azure and Edge Apps,Greater China,"213,656",FF,2,Public Sector Enterprise,Applications & Infrastructure,APAC,Custom,88,P-15
7-OI6DM6OWT,147,Won,Pharmaceuticals,No Partner,Azure and Edge Apps,Greater China,"149,493",FF,4,Strategic Enterprise,Applications & Infrastructure,APAC,Custom,33,P-8
7-MZZIVCEEP,104,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,Latam,"569,972",T&M,5,Strategic Enterprise,Modern Workplace,Latam,Custom,4,P-3
7-LVOR3C2MB,384,Lost,Automotive,No Partner,On Prem Apps,Greater China,"724,099",FF,4,Commercial Enterprise,Applications & Infrastructure,APAC,Custom,85,P-11
7-MURRVHSO6,157,Lost,Discrete Manufacturing,No Partner,On Prem Analytics,United States,"341,044",T&M,5,Strategic Enterprise,Data & AI,North America,Custom,33,P-17
7-PUBI2U2YV,252,Lost,National Government,No Partner,O365 Cloud Productivity,Latam,"852,788",FF,3,"Small, Medium & Corporate Government",Modern Workplace,Latam,Custom,4,P-24
7-MOGDD4TB2,355,Lost,Telecommunications,No Partner,Azure and Edge Infra,United States,"105,160",T&M,4,Strategic Enterprise,Applications & Infrastructure,North America,Custom,74,P-13
7-M7KXOMSC7,401,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,UK,"286,808",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,86,P-8
7-MRYNJMP4R,157,Lost,Defense & Intelligence,No Partner,O365 Cloud Productivity,United States,"253,687",T&M,4,Strategic Public Sector,Modern Workplace,North America,Custom,22,P-4
7-NC2QF3KV2,67,Won,Partner Professional Services,No Partner,O365 Cloud Productivity,United States,"532,925",Mixed,5,Strategic Enterprise,Modern Workplace,North America,Custom,9,P-27
7-PSSS5T5KC,40,Won,Pharmaceuticals,No Partner,Windows 10,United States,"370,800",T&M,5,Strategic Enterprise,Modern Workplace,North America,Custom,44,P-14
7-OK5KCFJ6F,81,Won,Banking & Capital Markets,Partner,O365 Cloud Productivity,United States,"894,490",Mixed,5,Strategic Enterprise,Modern Workplace,North America,Custom,32,P-23
7-Q2RDQMQUT,93,Won,Banking & Capital Markets,No Partner,O365 Cloud Productivity,United States,"469,342",T&M,4,Strategic Enterprise,Modern Workplace,North America,Custom,67,P-14
7-NEN2ADG5R,192,Lost,Partner Professional Services,No Partner,O365 Cloud Productivity,United States,"315,609",T&M,5,Strategic Enterprise,Modern Workplace,North America,Custom,64,P-18
7-LWIYGI7RT,74,Won,Discrete Manufacturing,No Partner,Azure Data & AI,United States,"863,359",FF,5,Strategic Enterprise,Data & AI,North America,Custom,38,P-4
7-P5MOXLLVA,262,Lost,Health Provider,No Partner,O365 Cloud Productivity,United States,"810,538",FF,1,Commercial Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,30,P-16
7-OLZICBZPO,116,Won,National Government,No Partner,EMS,United States,"127,408",T&M,5,Public Sector Enterprise,Modern Workplace,North America,Custom,20,P-8
7-PVSYZEPZB,28,Lost,Banking & Capital Markets,No Partner,Windows 10,United States,"366,807",Unknown,5,Commercial Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,58,P-12
7-OWLHLZJAL,169,Lost,Chemicals & Agrochemicals,No Partner,Azure and Edge Apps,United States,"278,226",T&M,5,Commercial Enterprise,Applications & Infrastructure,North America,Custom,87,P-4
7-ODYZ2HW3S,396,Won,Discrete Manufacturing,Partner,O365 Cloud Productivity,United States,"893,014",T&M,5,Strategic Enterprise,Modern Workplace,North America,Custom,88,P-14
7-MWPWV26Y5,170,Lost,National Government,No Partner,O365 Cloud Productivity,Latam,"854,577",FF,2,Public Sector Enterprise,Modern Workplace,Latam,Custom,57,P-10
7-OODIKHO46,155,Lost,Banking & Capital Markets,No Partner,On Prem Security and Identity,United States,"968,451",FF,5,Commercial Enterprise,Applications & Infrastructure,North America,Full MSO,62,P-9
7-NWWPGSLM2,116,Lost,Energy,No Partner,O365 Cloud Productivity,Latam,"121,728",T&M,3,Strategic Public Sector,Modern Workplace,Latam,Custom,58,P-22
7-NQJCATDIC,191,Lost,Banking & Capital Markets,No Partner,On Prem Productivity,Central and Eastern Europe,"124,054",FF,4,Commercial Enterprise,Modern Workplace,Europe,Custom,46,P-20
7-LPURFTMY5,130,Won,Primary & Secondary Edu/K-12,No Partner,Dynamics 365 Customer Engagement,Australia,"950,982",T&M,5,Public Sector Enterprise,Business Applications,APAC,Custom,17,P-9
7-P3RN6IZRO,116,Lost,Discrete Manufacturing,No Partner,O365 Cloud Productivity,India,"417,512",FF,4,Strategic Enterprise,Modern Workplace,APAC,Custom,57,P-26
7-MKF2BTT4H,162,Won,National Government,No Partner,Azure Security and Identity,UK,"373,509",FF,4,Strategic Public Sector,Applications & Infrastructure,Europe,Custom,80,P-18
7-PNAJSZBWW,140,Lost,Consumer Goods,No Partner,EMS,United States,"669,050",T&M,4,Commercial Enterprise,Modern Workplace,North America,Custom,61,P-26
7-MYFPZVWTE,377,Lost,Telecommunications,Partner,Azure and Edge Apps,Central and Eastern Europe,"548,359",T&M,3,"Small, Medium & Corporate Commercial",Applications & Infrastructure,Europe,Custom,62,P-12
7-OPEON4SV6,203,Lost,Energy,No Partner,Windows 10,United States,"510,548",T&M,5,Strategic Enterprise,Modern Workplace,North America,Custom,44,P-23
7-LX633EHYA,187,Lost,Health Provider,No Partner,O365 Cloud Productivity,United States,"575,978",FF,5,Strategic Enterprise,Modern Workplace,North America,Custom,77,P-24
7-OXN5MYW3D,140,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,Latam,"61,294",FF,4,Commercial Enterprise,Modern Workplace,Latam,Mixed Custom/SO/MSO,16,P-17
7-MSN5IFKUJ,165,Lost,Telecommunications,No Partner,O365 Cloud Productivity,Western Europe,"660,748",FF,3,Strategic Enterprise,Modern Workplace,Europe,Custom,18,P-19
7-OPGCSIXSD,35,Lost,Retailers,No Partner,O365 Cloud Productivity,United States,"148,882",T&M,4,Commercial Enterprise,Modern Workplace,North America,Custom,59,P-19
7-PUGKXI2FI,56,Lost,Professional Services,No Partner,EMS,UK,"645,507",FF,5,Commercial Enterprise,Modern Workplace,Europe,Custom,60,P-13
7-MX2KWDA7W,292,Lost,National Government,No Partner,EMS,Australia,"838,469",T&M,4,Public Sector Enterprise,Modern Workplace,APAC,Custom,28,P-17
7-MHII7Q6DO,235,Lost,National Government,No Partner,Windows 10,Greater China,"602,576",FF,4,Public Sector Enterprise,Modern Workplace,APAC,Custom,32,P-14
7-LRZMIHSVS,257,Lost,Health Provider,No Partner,O365 Cloud Productivity,United States,"212,347",FF,4,Commercial Enterprise,Modern Workplace,North America,Custom,67,P-21
7-OOIS6T7E2,353,Lost,Unknown,No Partner,Dynamics On Prem CRM,MEA,"825,537",FF,2,"Small, Medium & Corporate Commercial",Business Applications,MEA,Custom,64,P-25
7-OUQAKBWBT,215,Won,Other - Unsegmented,No Partner,O365 Cloud Productivity,UK,"790,381",FF,3,"Small, Medium & Corporate Commercial",Modern Workplace,Europe,Mixed Custom/SO/MSO,46,P-22
7-MF46WEAGD,189,Won,Nonprofit,No Partner,O365 Cloud Productivity,United States,"422,900",T&M,5,Public Sector Enterprise,Modern Workplace,North America,Custom,58,P-20
7-M5KJE7Q3V,158,Lost,Pharmaceuticals,Partner,On Prem Analytics,United States,"278,404",T&M,5,Commercial Enterprise,Data & AI,North America,Custom,85,P-22
7-MM6L2GYDH,118,Won,National Government,No Partner,O365 Cloud Productivity,United States,"457,524",Mixed,5,Public Sector Enterprise,Modern Workplace,North America,Custom,47,P-27
7-PEG6TM7CF,35,Won,Partner Professional Services,No Partner,EMS,United States,"40,895",FF,5,Strategic Enterprise,Modern Workplace,North America,Custom,59,P-21
7-OI3PO53VD,200,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,United States,"598,890",T&M,4,Strategic Enterprise,Modern Workplace,North America,Custom,10,P-9
7-PEGNHGNLN,54,Won,Nonprofit,No Partner,EMS,United States,"506,283",Unknown,5,Public Sector Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,72,P-25
7-MNXOT25IH,34,Lost,Pharmaceuticals,No Partner,O365 Cloud Productivity,United States,"859,494",FF,5,Commercial Enterprise,Modern Workplace,North America,Full MSO,23,P-18
7-PFYGGSAUB,34,Lost,Partner Professional Services,No Partner,Azure Security and Identity,United States,"521,328",T&M,5,Strategic Enterprise,Applications & Infrastructure,North America,Custom,31,P-8
7-OLEQX7BEP,2,Won,Discrete Manufacturing,No Partner,O365 Cloud Productivity,Japan,"807,464",T&M,3,Strategic Enterprise,Modern Workplace,APAC,Custom,40,P-6
7-M2M4TJ6WW,104,Won,Telecommunications,No Partner,Azure Data & AI,Latam,"60,700",FF,4,Strategic Enterprise,Data & AI,Latam,Custom,40,P-13
7-M5XTD6G5D,8,Won,Consumer Goods,No Partner,Windows 10,Greater China,"775,559",FF,4,Commercial Enterprise,Modern Workplace,APAC,Custom,65,P-7
7-MSW3JYY5T,86,Won,Insurance,No Partner,O365 Cloud Productivity,Canada,"594,532",FF,5,Strategic Enterprise,Modern Workplace,North America,Custom,64,P-5
7-MNXRTG2KK,113,Lost,Health Provider,No Partner,O365 Cloud Productivity,Western Europe,"120,936",Mixed,3,Strategic Public Sector,Modern Workplace,Europe,Custom,79,P-5
7-MUHABSSMA,52,Won,Banking & Capital Markets,No Partner,On Prem Productivity,Western Europe,"270,289",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,18,P-10
7-LKUBFW7RE,90,Lost,Energy,No Partner,Other,Australia,"516,507",T&M,5,Commercial Enterprise,Unknown,APAC,Custom,74,P-25
7-LKCMA73QK,119,Lost,Travel & Transportation,No Partner,O365 Cloud Productivity,Australia,"668,153",T&M,5,Commercial Enterprise,Modern Workplace,APAC,Custom,52,P-16
7-NLV6EVVFQ,139,Won,Discrete Manufacturing,No Partner,EMS,United States,"442,935",T&M,5,Commercial Enterprise,Modern Workplace,North America,Custom,31,P-8
7-NRHRVX3TQ,123,Lost,Insurance,No Partner,O365 Cloud Productivity,Australia,"776,595",FF,5,Commercial Enterprise,Modern Workplace,APAC,Custom,4,P-11
7-NAYPCH3N6,16,Lost,Primary & Secondary Edu/K-12,No Partner,O365 Cloud Productivity,United States,"75,019",T&M,5,Public Sector Enterprise,Modern Workplace,North America,Custom,23,P-19
7-LBUEXQWFM,43,Lost,Health Payor,No Partner,On Prem Productivity,United States,"397,780",T&M,5,Commercial Enterprise,Modern Workplace,North America,Custom,38,P-9
7-PIASE7T3K,252,Lost,Banking & Capital Markets,No Partner,On Prem Productivity,Latam,"861,360",FF,4,Strategic Enterprise,Modern Workplace,Latam,Mixed Custom/SO/MSO,62,P-6
7-LFLNCQECP,193,Lost,Higher Education,No Partner,O365 Cloud Productivity,Australia,"302,919",T&M,5,Public Sector Enterprise,Modern Workplace,APAC,Custom,58,P-2
7-LLXMEQE3S,86,Won,National Government,No Partner,O365 Cloud Productivity,Western Europe,"50,502",T&M,4,Public Sector Enterprise,Modern Workplace,Europe,Custom,56,P-21
7-MA4UPAXGK,193,Won,Higher Education,No Partner,Azure Data & AI,UK,"225,208",FF,4,Public Sector Enterprise,Data & AI,Europe,Custom,57,P-9
7-PQO3HA7MO,83,Won,Energy,No Partner,Azure and Edge Apps,UK,"231,353",FF,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,15,P-13
7-LQQ4WP3YX,72,Lost,Travel & Transportation,No Partner,O365 Cloud Productivity,Germany,"590,790",Mixed,3,Strategic Enterprise,Modern Workplace,Europe,Mixed Custom/SO/MSO,75,P-4
7-NUVBHGVUW,118,Lost,Travel & Transportation,No Partner,Azure and Edge Apps,Germany,"792,105",T&M,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,72,P-14
7-MUQ2EHYMN,380,Lost,Travel & Transportation,No Partner,O365 Cloud Productivity,Germany,"111,396",FF,5,Strategic Enterprise,Modern Workplace,Europe,Custom,27,P-26
7-PWA3XCJVS,131,Lost,Travel & Transportation,No Partner,Windows 10,Germany,"87,162",Unknown,5,Strategic Enterprise,Modern Workplace,Europe,Mixed Custom/SO/MSO,89,P-23
7-PI4XGNRAS,290,Lost,National Government,No Partner,O365 Cloud Productivity,UK,"118,442",T&M,5,Strategic Public Sector,Modern Workplace,Europe,Custom,71,P-17
7-NT2XIKJL5,54,Lost,National Government,No Partner,O365 Cloud Productivity,UK,"790,699",T&M,5,Strategic Public Sector,Modern Workplace,Europe,Custom,86,P-28
7-MTA7X7KLG,259,Lost,Banking & Capital Markets,No Partner,EMS,UK,"495,756",T&M,3,Strategic Enterprise,Modern Workplace,Europe,Custom,44,P-20
7-OWCAE6KRI,229,Won,Banking & Capital Markets,No Partner,EMS,UK,"608,922",Mixed,4,Strategic Enterprise,Modern Workplace,Europe,Custom,88,P-28
7-PLI3KNBZ3,89,Won,Consumer Goods,No Partner,Azure Data & AI,Western Europe,"646,966",Mixed,3,Strategic Enterprise,Data & AI,Europe,Custom,48,P-28
7-LLVJLXXKO,155,Won,Partner Professional Services,No Partner,O365 Cloud Productivity,Germany,"73,454",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,77,P-3
7-MUNM27LBH,175,Lost,Health Payor,Partner,Azure and Edge Infra,UK,"363,807",T&M,4,Strategic Public Sector,Applications & Infrastructure,Europe,Custom,9,P-27
7-MELVKY7BL,98,Won,Health Provider,Partner,Dynamics 365 Customer Engagement,UK,"64,443",T&M,5,Strategic Public Sector,Business Applications,Europe,Custom,58,P-13
7-Q2SBNEMYC,113,Lost,Banking & Capital Markets,No Partner,Windows 10,Canada,"617,298",Mixed,4,Strategic Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,64,P-18
7-N6XZZUMSV,114,Lost,Media & Entertainment,No Partner,On Prem Analytics,UK,"447,735",Unknown,5,Strategic Enterprise,Data & AI,Europe,Mixed Custom/SO/MSO,29,P-8
7-LLURNTAFR,281,Won,Telecommunications,No Partner,Azure and Edge Apps,Germany,"567,559",T&M,3,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,62,P-11
7-NWEBPYSR5,280,Lost,Energy,Partner,Azure and Edge Apps,Western Europe,"86,203",T&M,5,Commercial Enterprise,Applications & Infrastructure,Europe,Custom,35,P-1
7-MPMYD3UW3,113,Won,Energy,No Partner,Azure and Edge Apps,Western Europe,"42,822",T&M,5,Commercial Enterprise,Applications & Infrastructure,Europe,Custom,54,P-23
7-N7XPTL7JN,223,Won,Insurance,No Partner,Azure Security and Identity,UK,"91,667",FF,3,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,73,P-7
7-NAQP7LPIZ,263,Won,Discrete Manufacturing,No Partner,Azure and Edge Apps,Western Europe,"563,333",T&M,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,4,P-11
7-NAPFZ6H7R,261,Won,Discrete Manufacturing,No Partner,O365 Cloud Productivity,Western Europe,"446,612",T&M,5,Strategic Enterprise,Modern Workplace,Europe,Custom,46,P-27
7-MYJYXMFEM,315,Won,Telecommunications,No Partner,Azure Data & AI,Australia,"114,754",T&M,5,Strategic Enterprise,Data & AI,APAC,Custom,53,P-14
7-LF5RUF42U,46,Won,Smart Spaces,No Partner,Windows 10,Canada,"106,936",FF,5,Commercial Enterprise,Modern Workplace,North America,Custom,34,P-25
7-MQUJSYI66,392,Lost,Consumer Goods,No Partner,Azure Data & AI,Western Europe,"507,556",Mixed,2,Commercial Enterprise,Data & AI,Europe,Mixed Custom/SO/MSO,33,P-9
7-NLATV3OAU,186,Lost,Discrete Manufacturing,No Partner,Azure and Edge Infra,Japan,"601,947",FF,3,Strategic Enterprise,Applications & Infrastructure,APAC,Custom,80,P-6
7-PFS5I6QSJ,77,Won,Discrete Manufacturing,No Partner,Azure Security and Identity,Japan,"370,394",FF,5,Strategic Enterprise,Applications & Infrastructure,APAC,Custom,64,P-10
7-NRAX7SC7G,225,Won,Discrete Manufacturing,No Partner,Azure Security and Identity,Japan,"167,937",FF,5,Strategic Enterprise,Applications & Infrastructure,APAC,Custom,60,P-24
7-M6D5DMOTZ,405,Won,Consumer Goods,No Partner,Azure and Edge Apps,Western Europe,"917,064",T&M,5,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,4,P-18
7-PYQ6NKCOE,79,Lost,Banking & Capital Markets,No Partner,Dynamics 365 Customer Engagement,Western Europe,"896,987",FF,2,Commercial Enterprise,Business Applications,Europe,Custom,77,P-28
7-PQO2P7S4B,190,Won,Telecommunications,No Partner,Azure and Edge Apps,Western Europe,"898,165",T&M,3,Strategic Enterprise,Applications & Infrastructure,Europe,Custom,36,P-20
7-NTBHNQBG7,219,Lost,Travel & Transportation,No Partner,Azure and Edge Infra,Australia,"550,648",FF,4,Public Sector Enterprise,Applications & Infrastructure,APAC,Custom,74,P-6
7-O36EZPYXD,22,Lost,Banking & Capital Markets,No Partner,Azure and Edge Apps,United States,"412,079",T&M,4,Commercial Enterprise,Applications & Infrastructure,North America,Custom,28,P-1
7-PZRQXPLUE,62,Won,Travel & Transportation,No Partner,Azure and Edge Apps,United States,"749,765",T&M,4,Commercial Enterprise,Applications & Infrastructure,North America,Custom,3,P-15
7-OZECWP6VS,107,Lost,Retailers,No Partner,O365 Cloud Productivity,United States,"82,822",Mixed,4,Commercial Enterprise,Modern Workplace,North America,Custom,25,P-11
7-MD5RU7FYH,140,Lost,Discrete Manufacturing,No Partner,Azure and Edge Apps,United States,"712,226",T&M,4,Strategic Enterprise,Applications & Infrastructure,North America,Custom,67,P-20
7-MRVR7EJ7L,109,Won,Higher Education,No Partner,O365 Cloud Productivity,United States,"798,498",T&M,5,Public Sector Enterprise,Modern Workplace,North America,Custom,27,P-26
7-MWSOAMY7W,57,Won,Partner Professional Services,No Partner,Windows 10,United States,"396,039",T&M,5,Strategic Enterprise,Modern Workplace,North America,Custom,4,P-13
7-LZ22KHLNM,141,Won,Higher Education,No Partner,Azure Security and Identity,United States,"461,540",Mixed,4,Public Sector Enterprise,Applications & Infrastructure,North America,Custom,80,P-2
7-LIIJ3VH7W,158,Lost,National Government,No Partner,Azure Data & AI,United States,"732,403",T&M,4,Public Sector Enterprise,Data & AI,North America,Custom,69,P-19
7-NLGAHTHD7,349,Won,National Government,No Partner,EMS,United States,"397,476",Mixed,5,Public Sector Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,66,P-22
7-OQVI2ZDW3,161,Won,National Government,No Partner,Dynamics 365 Customer Engagement,United States,"193,523",Mixed,1,Public Sector Enterprise,Business Applications,North America,Custom,48,P-13
7-ONJS72DOT,134,Won,Banking & Capital Markets,No Partner,Windows 10,United States,"235,529",T&M,5,Strategic Enterprise,Modern Workplace,North America,Custom,62,P-5
7-M2JZH3NPY,139,Won,Chemicals & Agrochemicals,No Partner,Azure and Edge Apps,United States,"799,191",T&M,5,Strategic Enterprise,Applications & Infrastructure,North America,Custom,36,P-4
7-OBHORU75T,134,Won,Banking & Capital Markets,No Partner,EMS,United States,"296,805",T&M,3,Strategic Enterprise,Modern Workplace,North America,Custom,72,P-24
7-OAWSJJNPA,127,Won,Discrete Manufacturing,No Partner,Windows 10,United States,"29,309",T&M,4,Commercial Enterprise,Modern Workplace,North America,Custom,90,P-18
7-MY7SA5GO5,87,Won,Consumer Goods,No Partner,O365 Cloud Productivity,United States,"702,953",T&M,4,Strategic Enterprise,Modern Workplace,North America,Custom,67,P-10
7-OJUON6EPM,12,Won,Consumer Goods,No Partner,EMS,United States,"341,426",T&M,5,Strategic Enterprise,Modern Workplace,North America,Custom,37,P-26
7-NEKLFDJ2P,399,Lost,Partner Professional Services,No Partner,On Prem Analytics,United States,"575,792",T&M,4,Strategic Enterprise,Data & AI,North America,Custom,87,P-1
7-PXJZGYJG5,97,Won,Insurance,No Partner,Azure and Edge Infra,United States,"98,503",T&M,4,Commercial Enterprise,Applications & Infrastructure,North America,Custom,58,P-24
7-MRHYIFXPX,217,Lost,Partner Professional Services,No Partner,Azure and Edge Apps,United States,"406,246",T&M,5,Strategic Enterprise,Applications & Infrastructure,North America,Custom,29,P-26
7-OJIXTOEUF,82,Won,Banking & Capital Markets,No Partner,Dynamics On Prem CRM,United States,"518,249",T&M,5,Strategic Enterprise,Business Applications,North America,Custom,74,P-23
7-LD4ZFV36P,154,Lost,Banking & Capital Markets,No Partner,O365 Cloud Productivity,United States,"389,315",T&M,4,Strategic Enterprise,Modern Workplace,North America,Custom,71,P-23
7-LC6WRAJOH,207,Lost,Partner Professional Services,No Partner,O365 Cloud Productivity,United States,"519,031",T&M,5,Commercial Enterprise,Modern Workplace,North America,Custom,81,P-24
7-LKRC6VVDF,210,Lost,National Government,No Partner,EMS,United States,"559,709",FF,5,Public Sector Enterprise,Modern Workplace,North America,Mixed Custom/SO/MSO,18,P-21
7-NV6X4TJP4,70,Lost,Discrete Manufacturing,No Partner,On Prem Apps,United States,"149,232",T&M,3,Commercial Enterprise,Applications & Infrastructure,North America,Custom,83,P-2
7-NI3DTT3IA,99,Won,Energy,No Partner,On Prem Infra,United States,"956,236",T&M,5,Commercial Enterprise,Applications & Infrastructure,North America,Custom,21,P-24
7-PLAIDYMQQ,89,Won,Chemicals & Agrochemicals,Partner,Azure Data & AI,United States,"788,266",T&M,3,Strategic Enterprise,Data & AI,North America,Custom,89,P-12
7-OTSDJJ6ZK,108,Won,Partner Professional Services,No Partner,O365 Cloud Productivity,United States,"950,568",Mixed,5,Strategic Enterprise,Modern Workplace,North America,Custom,34,P-7
7-LRJXI7I5W,282,Lost,National Government,No Partner,On Prem Security and Identity,United States,"706,351",T&M,5,Public Sector Enterprise,Applications & Infrastructure,North America,Custom,36,P-3
7-MWIWRKOGR,76,Won,Discrete Manufacturing,No Partner,Azure Data & AI,United States,"150,226",T&M,4,Commercial Enterprise,Data & AI,North America,Custom,38,P-4
7-MWJJUNYNH,37,Lost,Professional Services,No Partner,Azure and Edge Apps,United States,"364,360",T&M,5,Strategic Enterprise,Applications & Infrastructure,North America,Custom,58,P-2
7-MPWZENDVQ,123,Lost,Travel & Transportation,No Partner,On Prem Analytics,United States,"70,517",FF,5,Strategic Enterprise,Data & AI,North America,Custom,14,P-16
7-MBTTR557Q,173,Won,Discrete Manufacturing,No Partner,Azure Data & AI,United States,"179,777",Mixed,5,Strategic Enterprise,Data & AI,North America,Custom,43,P-14
7-Q3LDKIV2I,153,Won,Discrete Manufacturing,No Partner,Azure and Edge Infra,United States,"414,877",T&M,4,Commercial Enterprise,Applications & Infrastructure,North America,Custom,16,P-6
7-PDYUBF6MK,135,Won,Health Provider,Partner,Dynamics On Prem CRM,United States,"498,176",T&M,3,Strategic Public Sector,Business Applications,North America,Custom,68,P-10
7-NETAX5OL3,35,Lost,Health Provider,No Partner,Dynamics 365 Customer Engagement,United States,"908,907",FF,2,Strategic Public Sector,Business Applications,North America,Custom,69,P-28
7-LRYPA3GWT,300,Won,Health Provider,No Partner,Azure and Edge Infra,United States,"854,017",FF,3,Strategic Public Sector,Applications & Infrastructure,North America,Custom,72,P-20
7-OR3YBCGQP,52,Won,Health Provider,No Partner,Dynamics 365 Customer Engagement,United States,"230,347",T&M,5,Strategic Public Sector,Business Applications,North America,Custom,57,P-1
7-LIRQMIMSX,58,Won,Consumer Goods,Partner,Azure Data & AI,United States,"631,634",T&M,5,Strategic Enterprise,Data & AI,North America,Custom,53,P-28
7-LR7ECFMTM,150,Won,National Government,No Partner,Windows 10,United States,"578,062",T&M,5,Strategic Public Sector,Modern Workplace,North America,Custom,67,P-26
7-LOQY2HPEY,356,Lost,Banking & Capital Markets,No Partner,Azure and Edge Infra,United States,"853,039",Mixed,3,Strategic Enterprise,Applications & Infrastructure,North America,Mixed Custom/SO/MSO,67,P-17
7-PIOZVLOSK,219,Lost,National Government,No Partner,Azure Security and Identity,United States,"947,507",T&M,5,Strategic Public Sector,Applications & Infrastructure,North America,Custom,18,P-9
7-LPJTY3DSP,312,Lost,Discrete Manufacturing,Partner,Azure Data & AI,United States,"351,535",FF,3,Strategic Enterprise,Data & AI,North America,Custom,79,P-17
7-ORJ6DRD3X,59,Won,Travel & Transportation,Partner,Azure and Edge Apps,United States,"366,822",T&M,5,Commercial Enterprise,Applications & Infrastructure,North America,Custom,2,P-3
